nct_id,org_name,org_class,brief_title,overall_status,why_stopped,collaborators,has_dmc,fda_regulated_drug,fda_regulated_device,phase,conditions,keywords
NCT04829851,University of Surrey,OTHER,The PROTEIN Project,COMPLETED,,"[{'name': 'European Union', 'class': 'OTHER'}]",False,False,False,,"['Overweight', 'Nutritional Deficiency', 'Poor Nutrition', 'Iron-deficiency']",
NCT06485804,University of Monastir,OTHER,AI Mobile App vs Self Exercises in Workers With Neck Pain,NOT_YET_RECRUITING,,"[{'name': 'Sana Salah', 'class': 'UNKNOWN'}, {'name': 'Amr Chaabeni', 'class': 'UNKNOWN'}]",False,False,False,NA,"['Neck Pain', 'Work-Related Condition']","['Office Workers', 'Clinical trial Protocol', 'Exercise Therapy', 'Mobile Application', 'Neck Pain', 'Patient compliance', 'Self-management', 'Workplace']"
NCT06086951,Chinese University of Hong Kong,OTHER,Pai.ACT - An Artificial Intelligence Driven Chatbot Assisted ACT,RECRUITING,,"[{'name': 'Hong Kong Christian Service', 'class': 'OTHER'}, {'name': ""Hong Kong Young Women's Christian Association"", 'class': 'OTHER'}, {'name': 'Yang Memorial Methodist Social Service', 'class': 'OTHER'}, {'name': 'Hong Kong Federation of Youth Groups', 'class': 'UNKNOWN'}, {'name': 'The Pamela Youde Nethersole Eastern Hospital', 'class': 'UNKNOWN'}]",True,False,False,NA,"['Autism Spectrum Disorder', 'Attention Deficit Hyperactivity Disorder', 'Neurodevelopmental Disorders', 'Intellectual Disability', 'Specific Learning Disorder', 'Communication Disorders', 'Motor Disorders']","['Deep learning', 'Smartphone-delivered Therapy', 'Acceptance and Commitment Therapy', 'Parents', 'Children with Special Needs', 'Feasibility trial', 'Parental Support', 'Artificial Intelligence in Healthcare', 'Psychological Interventions', 'Parenting Stress']"
NCT04288011,BeCare Link LLC,INDUSTRY,Validation of the BeCare Multiple Sclerosis Assessment App,UNKNOWN,,"[{'name': 'Yale University', 'class': 'OTHER'}]",False,False,False,,['Multiple Sclerosis'],"['MS', 'mobile app', 'machine learning', 'EDSS', 'BeCare']"
NCT06715488,Med2Measure,INDUSTRY,Automated Arthritis Detection Using Artificial Intelligence on Smartphone Photographs,ACTIVE_NOT_RECRUITING,,"[{'name': 'IISER Pune', 'class': 'UNKNOWN'}]",False,False,False,,"['Rheumatoid Arthritis &Amp; Other Inflammatory Polyarthropathies', 'Peripheral Spondyloarthritis', 'Inflammatory Arthritis']",['Artificial intelligence for arthritis diagnosis']
NCT05246163,"University Hospital, Ghent",OTHER,ARTIficial Intelligence-based Smartphone Application for Skin Cancer Detection,RECRUITING,,,False,False,False,,['Skin Cancer'],"['Screening', 'Prevention', 'Artificial Intelligence', 'Skinvision App']"
NCT06596330,Stanford University,OTHER,Integration of a Trained Language Model to Improve Glycemic Control Through Increased Physical Activity: a Fully Digital My Heart Counts Smartphone App Randomized Trial,NOT_YET_RECRUITING,,,False,False,False,NA,['Type2diabetes'],
NCT06610630,The First Affiliated Hospital of Zhengzhou University,OTHER,Research on the Application of AI Image Recognition-Based Smartphone Apps in Personalized Bowel Preparation,RECRUITING,,,True,False,False,NA,['Colorectal Polyps'],"['Colonoscopy', 'bowel preparation', 'artificial intelligence', 'smartphone', 'BBPS score']"
NCT06653049,University College Dublin,OTHER,An Evaluation of the Effect of App-Based Exercise Prescription Using RL on Satisfaction and Exercise Intensity,COMPLETED,,,False,False,False,NA,"['Exercise', 'Mobile Applications']","['Reinforcement Learning', 'mHealth', 'Exercise therapy']"
NCT05175690,"AudibleHealth AI, Inc.",INDUSTRY,Evaluation of the AudibleHealth Dx AI/ML-Based Dx SaMD Using FCV-SDS in the Diagnosis of COVID-19 Illness,COMPLETED,,"[{'name': 'University of South Florida', 'class': 'OTHER'}, {'name': 'R. P. Chiacchierini Consulting, LLC', 'class': 'INDUSTRY'}, {'name': 'Analytical Solutions Group, Inc.', 'class': 'UNKNOWN'}, {'name': 'Renaissance Worldwide Solutions, LLC', 'class': 'UNKNOWN'}, {'name': 'Medical & Regulatory Affairs Specialists, LLC', 'class': 'UNKNOWN'}]",True,False,True,,['COVID19'],"['2019 Novel Coronavirus Disease', '2019 Novel Coronavirus Infection', '2019-nCoV Disease', '2019-nCoV Infection', 'COVID-19 Pandemic', 'COVID-19 Pandemics', 'COVID-19 Virus Disease', 'COVID-19 Virus Infection', 'Coronavirus Disease 2019', 'Coronavirus Disease-19', 'SARS Coronavirus 2 Infection', 'SARS-CoV-2 Infection', 'Severe Acute Respiratory Syndrome Coronavirus 2 Infection', 'SARS-CoV-2', 'Software as Medical Device', 'Diagnostic Software as Medical Device', 'SaMD', 'Dx SaMD', 'Forced Cough Vocalization', 'Signal Data Signature', 'FCV', 'SDS', 'FCV-SDS', 'Delta', 'Omicron', 'Artificial Intelligence', 'Machine Learning', 'AI', 'ML', 'AI/ML', 'Classifier', 'Convolutional Neural Network', 'CNN', 'Recurrent Neural Network', 'RNN', 'Oracle', 'Ensemble']"
NCT06710028,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,OTHER,Trustworthy Artificial Intelligence for Improvement of Stroke Outcomes,RECRUITING,,,,False,False,,"['Stroke, Acute', 'Stroke, Ischemic', 'Stroke']",
NCT01699711,Parc de Salut Mar,OTHER,Normalization of dyrk1A and APP Function as an Approach to Improve Cognitive Performance and Decelerate AD Progression in DS Subjects: Epigallocatechin Gallate as Therapeutic Tool,COMPLETED,,,False,,,PHASE2,['Down Syndrome (DS)'],"['APP function (amyloid precursor protein, cognitive stimulation, alzheimer disease. program']"
NCT06771726,Universitat de les Illes Balears,OTHER,Multicenter Study Protocol: Research on Evaluation and Detection of Surgical Wound Complications with AI-based Recognition. (REDSCAR-trial),RECRUITING,,,False,False,False,PHASE2,['Surgical Wound Infection'],"['surgical wound infection', 'Telemedicine', 'smartphone application', 'artificial intelligence']"
NCT06114199,"The University of Texas Health Science Center, Houston",OTHER,Enhancing the Effectiveness of Home-delivery Based Produce Prescription Program Implementation Strategies,NOT_YET_RECRUITING,,"[{'name': 'American Heart Association', 'class': 'OTHER'}]",False,False,False,NA,['Nutritional Deficiency in Pregnancy'],
NCT06635187,The Hong Kong Polytechnic University,OTHER,ORal-motor Assessment and Rehabilitation Mobile App (ORAR App),RECRUITING,,"[{'name': 'The University of Hong Kong', 'class': 'OTHER'}]",True,False,False,,"['Stroke', 'Oral Motor Functions']","['Mobile App', 'Stroke', 'Oral Motor functions', 'Rehabilitation', 'artificial intelligence', 'speech']"
NCT05450614,Hospital de Clinicas de Porto Alegre,OTHER,"Smartphone App Based CBT Versus Online Group CBT: Randomized, Non-inferiority Clinical Trial",UNKNOWN,,,True,False,False,NA,"['Depressive Disorder, Major']","['Depressive Disorder, Major', 'Cognitive Behavioral Therapy', 'Clinical Trial', 'Smartphone', 'Machine Learning']"
NCT03969056,"University of California, San Francisco",OTHER,AI Activity Study in Patients With Elevated Blood Pressure,TERMINATED,Due to the COVID-19 pandemic,,False,False,False,NA,['Hypertension'],
NCT06337734,"University of California, San Diego",OTHER,An Artificial Intelligence-Assisted Digital Health Lifestyle Intervention for Adults With Hypertension,COMPLETED,,,False,False,False,NA,['Hypertension'],
NCT06918444,Instituto Universitario de Investigaciones Biomédicas y Sanitarias (iUIBS) de la Universidad de Las,OTHER,Evaluation of the WARIFA App and Its Impact on Healthy Lifestyle,RECRUITING,,"[{'name': 'Complejo Hospitalario Universitario Insular Materno Infantil', 'class': 'OTHER'}]",False,False,False,NA,"['Lifestyle Intervention', 'Non Communicable Chronic Diseases', 'Type 1 Diabetes (T1D)']","['AI (Artificial Intelligence)', 'Mobile app', 'Lifestyle intervention', 'Non Communicable Chronic Diseases', 'Risk Prediction Model', 'Type 1 Diabetes (T1D)']"
NCT05486390,Singapore General Hospital,OTHER,"EMPOWERing Patients With Chronic Diseases Through Smartphone App, Health Coaching and Shared Decision Making",ACTIVE_NOT_RECRUITING,,"[{'name': 'SingHealth Polyclinics', 'class': 'OTHER'}, {'name': 'National University of Singapore', 'class': 'OTHER'}, {'name': 'Duke-NUS Graduate Medical School', 'class': 'OTHER'}]",,False,False,NA,"['Diabetes Mellitus, Type 2', 'Hypertension']","['Nudge', 'Wearable', 'Behavioural change']"
NCT05595486,Women and Infants Hospital of Rhode Island,OTHER,Baby2Home (B2H) Mobile Health Application,ACTIVE_NOT_RECRUITING,,"[{'name': 'Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)', 'class': 'NIH'}, {'name': 'Northwestern University', 'class': 'OTHER'}]",True,False,False,NA,"['COVID-19 Pandemic', 'Health Knowledge, Attitudes, Practice', 'Perinatal Depression', 'Mental Health Wellness', 'Post Partum Depression']",
NCT03662802,Scripps Health,OTHER,Development of a Novel Convolution Neural Network for Arrhythmia Classification,COMPLETED,,,False,False,False,,"['Arrhythmias, Cardiac', 'Cardiac Arrest', 'Cardiac Arrythmias']","['artificial intelligence', 'machine learning', 'neural network', 'cardiac arrhythmia', 'ECG', 'EKG']"
NCT05023252,VA Office of Research and Development,FED,Mobile Self-Tracking,COMPLETED,,,False,False,False,NA,"['Schizophrenia', 'Bipolar Disorder', 'Schizoaffective Disorder', 'Post-traumatic Stress Disorder']","['Mental health care', 'Informatics', 'Predictive Modeling', 'Bipolar disorder', 'Psychotic Disorders', 'Machine learning']"
NCT05128006,VA Office of Research and Development,FED,Direct-to-patient Teledermatology and Computer-assisted Diagnosis,RECRUITING,,"[{'name': 'VA Boston Healthcare System', 'class': 'FED'}, {'name': 'Durham VA Health Care System', 'class': 'FED'}, {'name': 'Providence VA Medical Center', 'class': 'FED'}]",False,False,False,,['New Patient Use of Teledermatology Mobile App'],"['teledermatology', 'ehealth', 'mobile health', 'telemedicine', 'artificial intelligence', 'telehealth', 'access']"
NCT05068778,McGuire Institute,INDUSTRY,Development of an AI App to Improve Compliance in Periodontal Maintenance Patients,UNKNOWN,,"[{'name': 'Asua, Inc', 'class': 'UNKNOWN'}]",False,False,False,,['Periodontal Diseases'],
NCT05450809,Mayo Clinic,OTHER,Performance and Accuracy of an AI Enhanced Smart Watch Single Lead ECG,COMPLETED,,,False,False,False,,['Healthy'],"['electrocardiogram', 'wearable', 'artificial intellegence', 'Apple Watch']"
NCT02801877,Northwestern University,OTHER,IntelliCare Study: Artificial Intelligence in a Mobile (AIM) Intervention for Depression,COMPLETED,,,True,,,NA,"['Depression', 'Anxiety']","['Depression', 'Anxiety', 'Behavior Therapy', 'Technology Assisted', 'Mobile Phone', 'Cellular Phone', 'Smartphone', 'App', 'Coach']"
NCT05940090,Halcyon Dermatology,OTHER,Correlation of Dermatologist Made Biopsy Decision With AI Assisted Total Body Photography Detection of Outlier Lesions,COMPLETED,,,,False,True,,['Skin Lesion'],
NCT02417623,Fundacio d'Investigacio en Atencio Primaria Jordi Gol i Gurina,OTHER,Smartphone Application for Weight Loss,UNKNOWN,,,True,,,NA,['Obesity'],
NCT04926974,New England College of Optometry,OTHER,Community Access Through Remote Eyesight (CARE) Study,COMPLETED,,"[{'name': 'National Institute on Disability, Independent Living, and Rehabilitation Research', 'class': 'FED'}, {'name': 'University of California, Los Angeles', 'class': 'OTHER'}]",False,False,False,NA,['Low Vision'],
NCT03888521,University of Illinois at Urbana-Champaign,OTHER,Evaluating the GN ReSound Relief App Using task-and Rest-based fMRI,UNKNOWN,,"[{'name': 'GN Hearing A/S', 'class': 'INDUSTRY'}]",False,False,False,NA,"['Tinnitus, Subjective']",['Relief']
NCT06017687,Biospectal,INDUSTRY,Data Collection and Evaluation of OptiBP Under Investigational Use,RECRUITING,,,False,False,True,NA,['General Population'],
NCT06292221,UConn Health,OTHER,Personalized Depression Treatment Supported by Mobile Sensor Analytics,RECRUITING,,"[{'name': 'National Institute of Mental Health (NIMH)', 'class': 'NIH'}]",True,False,False,NA,['Depression'],"['Depression', 'smartphone']"
NCT05317247,University of Stellenbosch,OTHER,Cough Audio Classification As a TB Triage Test,RECRUITING,,"[{'name': 'Amsterdam Institute for Global Health and Development', 'class': 'OTHER'}, {'name': 'University of Göttingen', 'class': 'OTHER'}, {'name': 'Makerere University', 'class': 'OTHER'}]",True,False,False,,['Tuberculosis'],"['Triage', 'Cough audio classification', 'Smartphone application']"
NCT06330103,Rayong Hospital,OTHER,Efficacy of AI EF Screening by Using Smartphone Application Recorded PLAX View Cardiac Ultrasound Video Clips,COMPLETED,,"[{'name': 'Chulalongkorn University', 'class': 'OTHER'}]",,False,False,NA,"['Heart Failure', 'Heart Failure With Reduced Ejection Fraction', 'Cardiac Failure', 'Echocardiography', 'Artificial Intelligence']",
NCT06190795,Tan Tock Seng Hospital,OTHER,A Smartphone Application for a Self-directed Upper Limb Therapy After Stroke,RECRUITING,,,False,False,False,NA,['Stroke'],"['Upper Limb', 'Therapy']"
NCT05337722,Michigan State University,OTHER,App for Pregnancy Smoking Cessation With Peer Support,RECRUITING,,"[{'name': 'Babes-Bolyai University', 'class': 'OTHER'}, {'name': 'Wake Forest University Health Sciences', 'class': 'OTHER'}, {'name': 'University of Michigan', 'class': 'OTHER'}]",,False,False,NA,"['Smoking Cessation', 'Tobacco Smoking']",
NCT05421832,Northwestern University,OTHER,A Novel Measurement Concept to Objectively Quantify Severity of Vocal and Speech Related Symptoms Associated With Parkinson's Disease,RECRUITING,,"[{'name': 'Koneksa Health', 'class': 'INDUSTRY'}, {'name': ""Michael J. Fox Foundation for Parkinson's Research"", 'class': 'OTHER'}]",False,False,False,,['Parkinson Disease'],
NCT05339750,Mayo Clinic,OTHER,Allergy Skin Patch Artificial Intelligence (AI),COMPLETED,,,False,False,False,NA,['Allergic Contact Dermatitis'],
NCT06214520,Singapore General Hospital,OTHER,App-based Motivational Interviewing and Artificial Intelligence in Diabetes Management,RECRUITING,,"[{'name': 'SingHealth Polyclinic - Sengkang', 'class': 'UNKNOWN'}, {'name': 'SingHealth Polyclinic - Punggol', 'class': 'UNKNOWN'}, {'name': 'SingHealth Polyclinic - Tampines', 'class': 'UNKNOWN'}, {'name': 'Tiong Bahru Community Health Centre', 'class': 'UNKNOWN'}]",False,False,False,NA,['Diabetes Mellitus Type 2'],
NCT04643626,Universiti Putra Malaysia,OTHER,The Impact of Artificial Intelligence Dietary Smartphone Application on Nutritional Status Among Cancer Patients,COMPLETED,,"[{'name': 'National Cancer Institute, Malaysia', 'class': 'OTHER_GOV'}]",True,False,False,NA,"['Malnutrition, Calorie', 'Malnutrition; Protein', 'Weight Change, Body']","['artificial intelligence dietary application', 'weight', 'oral intake']"
NCT06920550,Nutricia Research,INDUSTRY,A Growth Artificial Intelligence Algorithm for leNgth and Weight Study,RECRUITING,,,False,False,False,,"['Length', 'Weight']","['artificial intelligence', 'length', 'weight', 'algorithm']"
NCT03526133,University of Sao Paulo General Hospital,OTHER,Validation of Sleep Apnea Diagnosis Device,COMPLETED,,"[{'name': 'Biologix Sistemas Ltda', 'class': 'UNKNOWN'}]",,False,False,,['Sleep Apnea'],"['sleep apnea', 'polygraph', 'home sleep apnea test (HSAT)', 'apnea hypopnea index (AHI)', 'oxygen desaturation index (ODI)', 'portable monitor', 'sleep actimetry', 'snoring']"
NCT05343585,Pennington Biomedical Research Center,OTHER,Validity of an AI-based Program to Identify Foods and Estimate Food Portion Size,COMPLETED,,"[{'name': 'National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)', 'class': 'NIH'}]",False,False,False,NA,['Nutrition Assessment'],['Nutrition Assessment']
NCT05789875,"University of California, San Francisco",OTHER,Youth Ending the HIV Epidemic,COMPLETED,,"[{'name': 'AiCure', 'class': 'INDUSTRY'}, {'name': 'RTI International', 'class': 'OTHER'}, {'name': 'National Institute of Mental Health (NIMH)', 'class': 'NIH'}]",False,False,False,NA,"['HIV/AIDS', 'Mobile Health', 'Young Adults']",
NCT06362629,West China Hospital,OTHER,AI App for Management of Atopic Dermatitis,RECRUITING,,,True,False,False,NA,"['Atopic Dermatitis', 'Artificial Intelligence']","['Atopic dermatitis', 'Treat to Target (T2T) strategy', 'Artificial Intelligence', 'app']"
NCT05871814,University of La Laguna,OTHER,Artificial Intelligence and Bowel Cleansing Quality,NOT_YET_RECRUITING,,,False,False,False,NA,['Cleansing Quality of the Colon'],
NCT05828056,National Taiwan University Hospital,OTHER,Prediction on the Recurrence of Manic and Depressive Episodes in Bipolar Disorder,UNKNOWN,,,,False,False,,"['Bipolar Disorder', 'Depressive Disorder']","['biomarker', 'Bipolar disorder']"
NCT06609174,Mayo Clinic,OTHER,AI-SCREENDCM Decentralized Clinical Trial - Pilot Study,RECRUITING,,,False,False,True,NA,['Cardiomyopathy'],['Artificial Intelligence']
NCT05326438,Southcentral Foundation,OTHER,mHealth App for Changing Alcohol Use in Alaska Native American Indian People,UNKNOWN,,"[{'name': 'University of Washington', 'class': 'OTHER'}]",False,False,False,NA,['Alcohol Use Disorder'],"['Alaska Native', 'mHealth app', 'behavioral interventions', 'alcohol use disorder']"
NCT06686056,China National Center for Cardiovascular Diseases,OTHER_GOV,Artificial Intelligence-Enhanced Management for Coronary Heart Disease (AIM-CHD) : Impact on Cholesterol and Other CHD Risk Factors,ACTIVE_NOT_RECRUITING,,,True,False,False,NA,['Secondary Prevention of Coronary Heart Disease'],"['Coronary heart disease', 'secondary prevention', 'mobile health', 'artificial intelligence']"
NCT05339841,Centro Cardiologico Monzino,OTHER,Italian Digital Primary Cardiovascular Prevention Study,ACTIVE_NOT_RECRUITING,,"[{'name': 'Istituto Auxologico Italiano', 'class': 'OTHER'}, {'name': 'Humanitas Hospital, Italy', 'class': 'OTHER'}, {'name': 'Istituto Di Ricerche Farmacologiche Mario Negri', 'class': 'OTHER'}, {'name': 'IRCCS Multimedica', 'class': 'OTHER'}, {'name': 'Neuromed IRCCS', 'class': 'OTHER'}, {'name': 'IRCCS Policlinico S. Donato', 'class': 'OTHER'}, {'name': 'Istituti Clinici Scientifici Maugeri SpA', 'class': 'OTHER'}, {'name': 'The Mediterranean Institute for Transplantation and Advanced Specialized Therapies', 'class': 'OTHER'}, {'name': 'Ospedale Policlinico San Martino', 'class': 'OTHER'}, {'name': 'Fondazione Policlinico Universitario Agostino Gemelli IRCCS', 'class': 'OTHER'}, {'name': 'Fondazione IRCCS Policlinico San Matteo di Pavia', 'class': 'OTHER'}, {'name': 'IRCCS San Raffaele Roma', 'class': 'OTHER'}, {'name': ""Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico"", 'class': 'OTHER'}]",False,False,False,NA,['Healthy Population'],"['CV primary prevention', 'CV risk factors', 'Hypertension', 'Diabetes', 'Hypercholesterolemia', 'Lifestyle behaviours', 'Digital Health', 'mHealth', 'Mobile app', 'Health empowerment', 'Primary care']"
NCT05324566,Mayo Clinic,OTHER,Evaluation of ECG Transmission and AI Models Using Apple Watch ECGs and Symptoms Data Collected Using a Mayo iPhone App,COMPLETED,,,False,False,False,,"['Heart Failure', 'Arrhythmias, Cardiac', 'Health Care Utilization']","['digital health', 'artificial intellegence', 'neural network', 'electrocardiogram', 'wearable device']"
NCT06118632,Chelsea and Westminster NHS Foundation Trust,OTHER,Physiological and Environmental Data in a Remote Setting to Predict Exacerbation Events in Patients With Chronic Obstructive Pulmonary Disease,RECRUITING,,,False,False,False,,['COPD Exacerbation'],
NCT06753045,Tulane University,OTHER,Health Electronic Assessment of Risks and Trends Using Biometric Equipment and Technology,RECRUITING,,"[{'name': 'Samsung Electronics', 'class': 'INDUSTRY'}]",False,False,False,,['Heart Diseases'],"['Heart failure', 'Coronary artery disease', 'Stroke/TIA', 'Diabetes mellitus', 'Chronic kidney disease', 'Cardiac arrhythmias', 'Smart watch', 'Atrial fibrillation', 'A-fib', 'Artificial intelligence', 'Machine learning']"
NCT02599259,AiCure,INDUSTRY,Using Artificial Intelligence to Measure and Optimize Adherence in Patients on Anticoagulation Therapy.,COMPLETED,,"[{'name': 'Montefiore Medical Center', 'class': 'OTHER'}]",False,,,NA,['Stroke'],"['Stroke', 'Oral anticoagulants', 'NOAC', 'wireless monitoring', 'Warfarin', 'Xarelto', 'compliance', 'adherence', 'monitoring', 'directly observed therapy', 'DOT', 'mobile device', 'electronic monitoring', 'artificial intelligence', 'oral anticoagulation therapy', 'adherence monitoring methods', 'nonadherence', 'non-adherence']"
NCT03273803,Seoul National University Hospital,OTHER,Cardiac Auscultation Using Smartphones,COMPLETED,,"[{'name': 'Korea Advanced Institute of Science and Technology', 'class': 'OTHER'}]",,False,False,,['Cardiovascular Physiological Phenomena'],"['Heart sounds, smartphone, application']"
NCT04447794,University of Alaska Anchorage,OTHER,Step Away: Comparing a Chatbot-delivered Alcohol Intervention With a Smartphone App,COMPLETED,,,True,False,False,NA,"['Alcohol Consumption', 'Alcohol Use Disorder']","['alcohol use disorder', 'alcohol consumption', 'primary prevention', 'smartphone']"
NCT05670197,Manchester Academic Health Science Centre,OTHER,Service User and Staff Views on Digital Remote Monitoring for Psychosis,COMPLETED,,"[{'name': 'University of Glasgow', 'class': 'OTHER'}, {'name': 'University of Edinburgh', 'class': 'OTHER'}, {'name': ""King's College London"", 'class': 'OTHER'}, {'name': 'Cardiff University', 'class': 'OTHER'}, {'name': 'University of Sussex', 'class': 'OTHER'}]",False,False,False,,"['Psychosis', 'Schizophrenia', 'Schizoaffective Disorder']","['smartphone app', 'wearable', 'digital health tool', 'symptom monitoring', 'passive sensing', 'mental health', 'SMI', 'severe mental health problems']"
NCT06652568,"ThinkSono, Ltd.",INDUSTRY,Determining the Validity of ThinkSono Guidance for Ultrasound Image Acquisition and Remote Diagnosis,RECRUITING,,"[{'name': 'NYU Langone Health', 'class': 'OTHER'}, {'name': 'Temple Health', 'class': 'UNKNOWN'}, {'name': 'Allegheny Health Network', 'class': 'OTHER'}]",False,False,True,NA,"['Deep Vein Thrombosis', 'Deep Vein Thrombosis, Pulmonary Embolus']","['Deep vein thrombosis', 'Artificial intelligence', 'Machine learning', 'Ultrasound']"
NCT03406455,The Cleveland Clinic,OTHER,Telemedicine in Total Knee Arthroplasty Using Wearable Technology,COMPLETED,,,False,False,False,,['Knee Arthritis'],"['wearable', 'mhealth']"
NCT06228417,Halmstad University,OTHER,A Mobile App for Medication Adherence in Persons With Hypertension: a Pilot Study,COMPLETED,,"[{'name': 'Vinnova', 'class': 'OTHER_GOV'}]",,False,False,,['Hypertension'],"['artificial intelligence', 'focus group', 'adherence, medication', 'pilot study']"
NCT05777655,"University Hospital, Essen",OTHER,Improving Adherence to Statin Therapy Through a Medication Management Application,RECRUITING,,,False,False,False,NA,['Atherosclerosis'],"['Smartphone Application', 'Medication Therapy Management']"
NCT05378854,Aristotle University Of Thessaloniki,OTHER,Training Data Collection & AI Development,COMPLETED,,"[{'name': 'Region Stockholm', 'class': 'OTHER_GOV'}]",False,False,False,NA,"['Breast Cancer', 'Prostate Cancer']","['Cancer', 'mHealth App', 'Ambient Sensors', 'Wearables', 'Smartwatch', 'Smart scale', 'Analytics Engine']"
NCT04016987,Second Xiangya Hospital of Central South University,OTHER,Automated Structured Education Based on an App and AI in Chinese Patients With Type 1 Diabetes,UNKNOWN,,,False,False,False,NA,['Type 1 Diabetes'],
NCT04697966,Mclean Hospital,OTHER,Mechanisms and Predictors of Change in App-Based Mindfulness Training for Adolescents,RECRUITING,,"[{'name': 'Cambridge Health Alliance', 'class': 'OTHER'}, {'name': 'Lawrence University', 'class': 'OTHER'}]",True,False,False,NA,['Rumination'],
